N,P,K,temperature,humidity,ph,rainfall,label
76.19,21.77,75.43,26.11,40.18,6.07,708.25,Arhar (Tur)
49.39,10.8,64.61,29.93,59.86,6.84,303.28,Arhar (Tur)
65.07,19.92,72.73,23.22,62.6,6.49,396.35,Arhar (Tur)
64.24,24.9,52.19,31.52,78.54,7.54,412.57,Arhar (Tur)
51.6,36.34,42.47,19.42,72.44,6.87,638.64,Arhar (Tur)
78.75,28.22,45.5,23.18,56.7,6.21,776.85,Arhar (Tur)
68.64,18.53,38.23,30.24,40.96,6.94,578.21,Arhar (Tur)
58.31,14.9,60.1,23.27,64.75,6.07,577.04,Arhar (Tur)
46.56,16.43,28.38,20.64,53.77,6.17,868.39,Arhar (Tur)
38.35,34.27,78.47,19.13,66.07,7.57,680.54,Arhar (Tur)
40.03,22.93,22.15,25.48,79.74,7.73,324.24,Arhar (Tur)
59.41,19.05,74.18,18.63,77.43,7.51,370.5,Arhar (Tur)
14.19,35.04,29.35,25.49,76.63,7.02,538.34,Arhar (Tur)
84.5,23.79,195.0,20.28,57.57,6.07,1167.94,Ash gourd
49.43,72.04,153.26,29.11,89.04,7.18,1149.04,Ash gourd
52.69,67.75,127.31,24.24,85.96,7.44,934.35,Ash gourd
88.29,47.38,101.81,21.15,65.66,5.68,369.69,Ash gourd
117.99,46.76,188.91,25.41,51.41,5.82,485.24,Ash gourd
137.57,33.12,122.52,30.92,89.09,5.97,344.21,Ash gourd
55.36,23.8,71.22,24.67,86.5,6.57,863.39,Ash gourd
60.19,68.04,138.85,29.69,87.95,6.2,381.52,Ash gourd
62.59,46.27,191.31,21.43,80.83,6.58,464.53,Ash gourd
72.07,59.19,147.66,22.39,59.15,6.94,451.99,Ash gourd
133.67,31.27,57.17,23.46,70.78,6.52,693.0,Ash gourd
139.48,49.18,116.47,22.17,52.67,6.69,505.17,Ash gourd
103.76,23.05,197.02,22.97,85.87,6.45,354.3,Ash gourd
122.22,58.89,165.08,22.28,75.52,7.21,867.96,Ash gourd
74.77,59.75,147.5,31.33,64.84,6.35,1030.91,Ash gourd
90.58,64.19,113.55,18.66,79.81,5.76,478.73,Ash gourd
102.68,64.84,183.15,19.63,54.43,7.41,438.98,Ash gourd
59.77,37.48,124.7,30.01,80.42,6.92,457.66,Ash gourd
75.77,48.7,63.59,19.65,62.33,5.75,795.22,Ash gourd
110.5,24.2,116.98,28.3,79.92,7.13,703.42,Ash gourd
122.06,34.45,97.73,18.0,68.7,6.28,516.83,Ash gourd
115.18,38.83,83.65,17.23,67.55,6.11,632.35,Ash gourd
63.6,65.79,188.8,23.46,75.72,7.23,1198.95,Ash gourd
101.35,73.39,185.38,28.45,68.44,5.66,314.22,Ash gourd
87.72,49.66,105.18,24.66,72.09,7.17,397.79,Ash gourd
62.52,67.58,175.65,31.91,84.92,7.28,582.91,Ash gourd
80.17,36.09,137.01,30.96,63.79,6.61,566.67,Ash gourd
56.98,31.71,49.27,31.14,66.12,7.17,913.2,Ash gourd
59.19,30.53,169.92,19.5,86.53,5.78,909.94,Ash gourd
121.45,34.12,84.19,31.4,60.58,6.36,689.26,Ash gourd
65.3,66.55,163.5,21.43,83.41,5.93,303.88,Ash gourd
97.12,79.64,46.18,18.54,70.76,7.12,380.14,Ash gourd
79.52,64.82,99.45,18.21,57.82,6.32,731.48,Ash gourd
126.18,58.54,150.46,31.71,66.47,6.31,1131.01,Ash gourd
64.59,63.79,160.73,16.66,68.73,5.9,466.84,Ash gourd
86.38,37.37,167.37,30.43,82.11,6.03,546.72,Ash gourd
65.47,28.1,191.01,21.83,58.99,7.19,659.28,Ash gourd
43.51,29.72,142.28,28.31,58.44,7.33,1065.9,Ash gourd
124.84,33.66,48.09,29.75,62.23,6.74,983.97,Ash gourd
52.83,66.85,190.16,27.38,67.65,7.25,774.71,Ash gourd
114.48,69.23,159.9,19.89,54.71,5.98,752.59,Ash gourd
90.53,54.96,103.22,28.38,86.53,5.99,962.87,Ash gourd
107.8,51.39,70.16,28.52,88.43,6.94,1126.07,Ash gourd
138.42,41.12,142.12,23.06,89.47,5.69,671.14,Ash gourd
127.55,37.04,166.05,21.51,89.2,7.27,571.19,Ash gourd
117.02,40.21,137.02,26.19,83.18,5.55,498.14,Ash gourd
111.19,53.81,119.3,15.94,63.93,7.23,327.8,Ash gourd
79.64,76.71,48.14,27.74,60.3,7.23,971.46,Ash gourd
128.57,32.96,125.01,28.25,59.83,5.96,324.46,Ash gourd
135.85,62.6,141.69,27.65,71.26,6.45,704.58,Ash gourd
104.04,32.09,182.09,28.8,63.98,6.66,426.92,Ash gourd
137.23,74.17,187.5,20.65,56.77,5.92,381.0,Ash gourd
52.01,24.28,198.37,16.26,55.3,7.15,822.22,Ash gourd
117.44,57.85,181.15,25.85,70.89,6.93,702.65,Ash gourd
74.61,48.06,67.15,28.54,60.43,5.81,521.72,Ash gourd
124.21,39.81,149.77,29.56,53.11,7.03,576.9,Ash gourd
61.66,61.33,185.57,20.02,72.75,6.08,798.86,Ash gourd
102.19,56.62,139.77,17.3,77.74,6.85,914.33,Ash gourd
47.41,46.81,105.45,16.47,58.89,6.38,968.62,Ash gourd
63.71,69.78,127.33,27.93,68.9,6.5,857.75,Ash gourd
132.8,49.51,124.59,25.23,79.5,5.64,764.12,Ash gourd
88.16,75.3,118.96,22.96,88.49,6.4,462.8,Ash gourd
61.69,25.71,40.09,22.34,80.77,6.97,328.93,Ash gourd
97.0,29.26,190.57,17.85,75.07,6.15,877.41,Ash gourd
81.23,65.58,76.91,30.4,70.01,7.01,1064.76,Ash gourd
139.88,33.44,85.9,19.26,60.51,6.66,1194.17,Ash gourd
139.03,51.61,142.24,29.62,87.32,5.91,775.69,Ash gourd
123.28,38.19,110.37,31.76,89.4,7.31,1018.6,Ash gourd
66.91,39.25,127.57,24.53,70.22,6.77,667.49,Ash gourd
114.92,40.01,92.91,17.16,57.55,7.2,701.65,Ash gourd
62.79,65.56,128.64,15.36,62.65,5.85,890.29,Ash gourd
67.5,23.9,48.79,24.89,50.87,7.2,439.86,Ash gourd
100.66,46.68,110.86,16.22,82.11,7.29,309.92,Ash gourd
57.86,74.23,127.92,17.55,58.11,6.82,952.34,Ash gourd
99.94,77.19,119.05,20.1,69.09,6.22,501.97,Ash gourd
44.6,41.13,153.83,15.31,67.57,6.79,849.36,Ash gourd
117.66,68.63,153.87,16.75,69.0,6.71,521.01,Ash gourd
44.26,33.42,112.78,22.04,57.07,7.15,1133.12,Ash gourd
60.13,75.77,42.86,30.72,88.08,5.52,986.72,Ash gourd
137.02,74.35,195.31,24.36,53.13,7.2,852.45,Ash gourd
101.47,45.04,131.49,17.61,79.59,5.65,956.8,Ash gourd
124.9,48.35,121.57,20.31,88.78,6.97,632.09,Ash gourd
57.48,33.17,114.23,31.02,79.37,5.93,1073.61,Ash gourd
77.82,71.1,78.67,25.52,87.07,6.02,923.63,Ash gourd
138.73,29.04,54.14,26.46,63.59,5.64,727.78,Ash gourd
115.38,37.11,93.61,29.38,70.8,7.19,701.75,Ash gourd
135.3,59.05,58.54,30.05,69.57,5.78,437.42,Ash gourd
108.75,22.84,85.86,17.38,67.64,6.33,769.69,Ash gourd
67.96,21.92,138.3,21.35,76.05,5.72,312.4,Ash gourd
64.83,47.39,103.05,28.78,65.11,6.56,834.16,Ash gourd
42.18,50.91,95.17,22.16,54.01,7.07,1148.16,Ash gourd
42.23,56.08,162.22,19.84,81.5,6.76,1136.25,Ash gourd
138.1,22.54,111.19,24.3,55.87,6.17,1188.88,Ash gourd
41.62,47.15,174.82,20.51,69.19,7.46,727.39,Ash gourd
53.09,23.1,191.27,19.52,70.16,5.68,681.29,Ash gourd
133.01,50.14,195.38,19.4,70.18,7.22,703.43,Ash gourd
67.95,71.33,102.38,24.02,89.06,5.87,571.26,Ash gourd
43.11,43.51,72.03,26.56,57.25,6.85,537.13,Ash gourd
75.52,40.93,154.68,22.93,64.45,7.21,814.76,Ash gourd
61.38,74.01,94.82,15.66,69.78,5.75,514.62,Ash gourd
119.77,25.23,104.56,34.05,64.26,6.92,942.23,Bajra
139.42,33.66,53.03,27.79,61.33,5.86,851.8,Bajra
61.13,57.11,61.17,20.59,44.33,5.98,546.52,Bajra
62.62,31.17,55.44,25.68,55.41,6.18,595.13,Bajra
67.18,21.01,56.17,31.35,79.63,7.36,753.8,Bajra
102.55,32.58,101.92,31.47,73.77,7.29,690.91,Bajra
121.35,52.26,64.68,33.94,43.77,7.49,993.08,Bajra
67.46,46.25,42.73,31.55,71.97,6.7,1071.17,Bajra
67.83,31.04,73.13,20.64,57.93,6.03,653.46,Bajra
94.01,55.18,61.63,33.41,57.04,6.16,752.26,Bajra
93.42,30.29,80.21,22.28,54.08,6.63,672.07,Bajra
125.91,30.27,117.58,31.77,78.7,7.18,427.89,Bajra
102.12,26.8,105.46,28.76,50.54,7.36,403.67,Bajra
105.11,48.84,44.71,28.97,72.64,5.64,761.02,Bajra
80.68,46.52,49.49,34.06,75.79,5.87,590.94,Bajra
107.01,48.72,75.41,22.34,44.17,7.5,709.82,Bajra
129.8,39.3,113.79,21.32,44.56,7.36,1152.74,Bajra
85.18,34.21,76.2,26.24,47.6,7.3,527.98,Bajra
116.42,22.69,43.1,29.81,53.56,6.81,384.62,Bajra
135.99,49.94,110.1,22.05,52.81,6.24,783.46,Bajra
83.75,22.43,69.51,23.82,55.44,5.89,535.71,Bajra
110.16,35.53,67.63,28.01,70.87,6.26,828.77,Bajra
137.3,40.88,112.78,31.91,42.35,6.36,928.49,Bajra
138.94,38.34,47.42,28.43,45.06,7.0,756.91,Bajra
117.87,54.77,90.32,29.19,70.18,7.18,1082.15,Bajra
62.91,42.25,57.3,32.91,65.94,6.34,469.29,Bajra
87.12,48.15,56.35,21.4,75.52,7.03,479.82,Bajra
83.38,58.88,96.65,29.16,52.31,6.1,335.57,Bajra
118.28,21.73,40.39,30.94,77.95,7.01,724.48,Bajra
98.88,37.45,65.97,27.83,57.25,6.7,1108.31,Bajra
139.6,23.15,70.77,22.71,54.08,6.07,457.08,Bajra
121.13,39.85,113.54,20.49,42.68,6.31,372.25,Bajra
81.02,59.44,56.72,22.97,62.95,6.5,822.39,Bajra
90.14,53.07,51.09,26.43,67.59,7.24,632.61,Bajra
105.42,22.77,53.63,21.04,69.12,6.08,951.37,Bajra
65.31,54.5,106.84,21.33,40.95,5.61,1068.27,Bajra
78.78,41.93,74.1,31.93,59.56,6.5,1190.18,Bajra
72.01,53.23,44.14,27.16,75.45,6.83,916.69,Bajra
81.07,36.74,69.33,27.82,58.49,6.15,574.93,Bajra
80.07,34.6,52.0,33.08,64.08,5.77,924.47,Bajra
127.81,29.5,52.05,20.13,41.89,7.02,1188.47,Bajra
63.59,49.92,45.75,28.88,70.24,6.22,309.84,Bajra
107.62,59.65,60.61,22.84,44.96,6.61,836.8,Bajra
123.38,50.12,111.4,32.09,49.89,6.61,567.67,Bajra
86.38,57.28,94.55,34.62,56.68,6.57,738.4,Bajra
68.58,29.47,82.21,21.01,77.26,5.75,478.18,Bajra
121.23,23.88,112.02,30.89,42.74,6.88,868.47,Bajra
120.59,53.13,97.47,28.79,52.9,6.89,1161.27,Bajra
107.0,46.57,74.97,31.34,79.91,5.82,482.16,Bajra
103.16,39.26,85.73,20.74,56.17,6.67,826.67,Bajra
112.59,48.81,91.32,31.85,64.99,6.58,845.58,Bajra
68.1,30.93,82.19,33.09,67.16,5.68,833.05,Bajra
77.74,49.36,106.2,28.9,63.65,6.18,701.63,Bajra
129.13,48.93,81.58,25.52,42.02,5.79,473.72,Bajra
89.87,57.77,80.41,23.52,44.23,6.18,1034.16,Bajra
90.67,50.9,104.22,21.66,64.35,7.42,661.92,Bajra
64.08,56.93,110.69,27.83,62.09,5.92,1037.51,Bajra
99.89,21.36,94.64,34.26,73.17,6.05,347.99,Bajra
135.23,57.48,82.59,29.63,58.5,6.34,407.5,Bajra
67.74,29.31,106.93,22.19,49.07,6.6,493.62,Bajra
73.06,42.53,69.45,29.39,76.49,5.8,1122.09,Bajra
132.2,53.16,90.5,29.3,65.57,6.88,314.83,Bajra
136.65,43.42,102.52,25.66,40.5,6.52,756.47,Bajra
94.96,33.59,59.99,27.91,55.01,7.44,455.63,Bajra
85.57,31.76,83.46,27.49,65.75,7.4,556.7,Bajra
115.42,21.0,60.99,26.96,41.24,6.74,910.48,Bajra
119.74,40.66,88.32,25.94,41.65,5.7,889.5,Bajra
139.64,20.63,84.61,31.27,73.07,6.59,857.92,Bajra
115.74,54.36,49.78,33.89,41.04,7.17,369.07,Bajra
75.57,20.16,75.62,25.02,46.64,6.4,662.13,Bajra
121.41,55.73,92.21,21.87,51.82,7.33,379.86,Bajra
92.55,57.7,116.05,26.17,66.7,6.41,978.11,Bajra
62.53,25.77,89.14,23.49,66.64,6.2,1097.98,Bajra
125.54,39.71,101.83,24.07,59.77,5.89,1074.8,Bajra
125.85,56.09,110.2,34.39,49.13,7.36,814.09,Bajra
93.8,42.41,67.41,24.33,49.65,5.66,746.91,Bajra
131.02,45.21,81.68,26.43,58.58,5.92,1040.64,Bajra
75.87,48.66,100.8,28.62,74.52,6.08,1093.46,Bajra
118.35,51.95,93.17,32.7,79.72,6.34,1032.52,Bajra
119.57,38.11,114.16,25.92,62.62,5.71,503.2,Bajra
127.26,35.86,71.53,23.69,59.66,7.11,1105.65,Bajra
65.61,42.99,77.38,29.21,57.89,6.3,724.69,Bajra
106.56,40.04,77.77,32.27,69.83,6.18,1020.52,Bajra
128.29,26.14,86.61,24.28,69.57,5.98,904.26,Bajra
80.41,40.45,115.89,25.72,75.03,7.47,1087.37,Bajra
73.27,52.79,42.57,25.9,74.83,6.88,779.47,Bajra
91.03,52.49,96.76,27.03,75.7,5.96,453.35,Bajra
111.42,58.88,59.78,23.75,45.58,7.22,503.76,Bajra
100.25,59.63,40.97,28.35,60.49,7.11,619.75,Bajra
92.83,26.72,99.27,31.77,45.47,6.29,1103.61,Bajra
60.22,31.95,84.4,25.01,50.88,6.42,463.37,Bajra
102.37,48.27,86.02,21.4,73.78,5.85,988.33,Bajra
88.85,51.31,56.5,22.8,59.88,5.57,502.77,Bajra
117.92,53.5,46.46,33.23,71.9,7.24,928.59,Bajra
113.93,41.0,92.22,33.79,44.02,6.13,365.21,Bajra
135.58,37.81,94.03,32.62,79.64,5.82,1019.56,Bajra
130.99,21.96,100.33,25.32,65.94,6.53,533.77,Bajra
70.82,24.68,48.27,29.57,54.06,5.93,922.7,Bajra
114.95,41.57,114.8,25.78,73.43,5.65,965.85,Bajra
139.08,53.86,86.37,29.4,54.13,6.86,993.36,Bajra
139.86,39.7,44.9,28.94,44.76,5.99,595.9,Barley
118.48,27.35,53.26,20.67,74.93,6.89,335.95,Barley
62.26,42.35,62.6,28.95,57.38,7.35,559.03,Barley
114.33,22.16,116.47,34.71,69.56,6.43,497.99,Barley
125.0,49.45,57.76,26.77,58.51,7.15,915.46,Barley
111.45,45.99,61.64,25.58,41.83,7.07,689.7,Barley
95.06,29.81,56.75,28.82,49.3,5.63,990.76,Barley
90.12,35.21,74.51,32.23,52.83,7.02,1145.59,Barley
112.87,37.27,99.82,26.87,56.58,6.55,585.95,Barley
68.34,36.59,49.91,26.16,62.28,7.36,332.6,Barley
109.72,38.31,41.62,23.74,44.74,5.93,547.11,Barley
92.1,41.16,40.08,22.43,43.74,6.6,596.17,Barley
103.87,28.87,41.94,34.12,44.33,5.75,431.89,Barley
138.5,44.71,88.82,34.8,43.54,7.45,483.61,Barley
109.85,36.8,70.72,33.97,45.97,7.49,641.21,Barley
111.9,58.72,44.61,33.84,62.71,6.91,434.27,Barley
102.67,46.94,76.5,22.32,49.76,7.21,331.02,Barley
116.71,59.98,40.6,22.42,66.97,5.62,830.81,Barley
114.72,43.53,69.21,30.46,63.77,5.92,806.82,Barley
130.55,46.67,77.74,24.82,43.44,5.99,310.07,Barley
138.93,28.9,105.19,22.53,51.34,6.34,591.97,Barley
123.87,58.31,110.02,22.3,71.07,5.8,1122.04,Barley
101.43,33.46,52.56,20.18,49.92,7.33,1017.54,Barley
137.58,24.03,87.37,23.86,61.72,6.14,555.12,Barley
105.91,27.33,77.53,29.76,45.13,7.36,755.15,Barley
125.56,46.16,96.8,30.74,75.0,6.73,550.4,Barley
67.96,44.25,45.31,23.62,42.43,6.6,444.3,Barley
108.83,51.63,105.75,24.64,61.96,6.63,725.6,Barley
112.41,28.4,118.34,21.47,73.17,6.69,520.37,Barley
119.65,23.38,101.95,28.85,44.43,5.66,975.75,Barley
83.43,55.57,100.97,30.47,51.14,6.92,1153.33,Barley
67.32,33.05,58.77,25.9,69.69,6.45,813.66,Barley
85.13,25.65,61.35,32.9,64.1,6.26,1010.92,Barley
65.16,30.16,58.41,34.78,68.24,6.74,304.49,Barley
74.74,45.42,70.38,33.86,70.59,6.39,974.56,Barley
138.03,38.44,91.4,33.78,49.95,7.27,387.79,Barley
111.88,51.31,89.17,27.43,64.69,5.8,494.01,Barley
81.59,43.91,75.35,23.67,75.31,6.25,701.43,Barley
92.78,27.28,98.53,26.73,40.65,7.43,1034.19,Barley
117.88,54.76,112.54,25.06,64.44,6.72,540.57,Barley
77.76,24.56,92.75,31.71,70.44,6.13,484.73,Barley
96.29,41.87,113.53,33.12,76.64,7.2,1168.12,Barley
97.24,21.9,46.68,25.85,50.31,5.84,1157.88,Barley
75.63,58.38,100.87,29.61,67.04,6.16,881.78,Barley
74.94,57.51,64.14,23.83,68.45,6.81,706.17,Barley
110.6,26.38,93.87,24.06,50.91,5.82,599.14,Barley
86.5,38.17,55.23,22.9,61.67,5.76,920.01,Barley
135.52,37.07,112.09,21.47,41.72,6.94,984.92,Barley
127.44,22.27,102.15,25.65,52.13,5.85,1196.41,Barley
65.09,53.08,91.16,31.03,68.47,7.22,465.41,Barley
60.07,43.94,68.31,21.86,47.45,6.16,363.21,Barley
64.55,56.64,64.97,34.73,78.57,5.79,943.43,Barley
108.06,47.63,47.7,22.83,43.07,6.71,1187.93,Barley
113.76,48.43,118.77,30.17,41.61,7.23,628.21,Barley
60.35,40.29,114.96,23.86,59.66,5.85,351.92,Barley
66.44,49.08,109.13,22.15,51.53,5.89,324.17,Barley
104.27,48.0,91.83,25.82,62.2,5.69,438.87,Barley
134.54,50.46,113.82,33.75,65.98,7.36,675.03,Barley
60.29,22.5,48.76,21.43,54.07,6.9,1011.58,Barley
107.22,25.86,99.83,25.32,40.52,6.06,597.54,Barley
81.94,52.47,100.79,30.43,45.56,7.12,909.46,Barley
75.59,45.92,78.68,26.59,44.48,6.54,389.94,Barley
73.14,25.3,116.33,24.27,54.21,6.14,1108.43,Barley
105.04,56.77,63.99,21.72,62.25,6.19,1021.72,Barley
130.35,38.9,117.71,28.3,50.84,6.48,333.58,Barley
124.32,24.06,64.7,28.48,41.72,5.66,926.5,Barley
65.74,39.08,67.1,23.42,47.55,7.03,1156.39,Barley
71.21,58.39,87.58,29.62,68.4,6.91,1037.83,Barley
98.68,41.33,65.91,21.58,66.59,5.57,548.07,Barley
67.54,27.63,91.1,29.43,56.84,5.68,690.04,Barley
88.22,48.82,86.32,27.37,59.48,7.43,980.66,Barley
99.76,39.17,42.12,34.14,52.77,6.01,1199.47,Barley
117.5,21.89,44.95,20.38,63.98,5.64,1140.05,Barley
134.95,41.84,89.33,24.38,42.56,6.97,391.61,Barley
66.84,32.45,41.0,26.51,68.31,7.1,843.88,Barley
127.75,36.26,107.9,27.6,48.92,7.39,547.47,Barley
62.1,29.71,69.34,25.27,60.99,7.27,563.1,Barley
101.66,33.61,105.74,22.36,44.14,6.51,904.7,Barley
123.64,43.58,101.91,25.89,41.31,5.73,334.85,Barley
86.32,39.82,68.51,28.41,59.22,6.86,900.27,Barley
85.45,33.85,86.81,28.95,52.59,6.16,924.64,Barley
111.79,25.4,75.28,33.39,41.45,7.21,446.86,Barley
100.58,36.97,40.81,33.73,58.2,7.41,558.07,Barley
129.3,56.9,84.55,23.04,67.41,6.6,1150.08,Barley
95.14,30.74,51.06,30.48,78.96,5.56,966.4,Barley
134.15,22.99,48.81,30.38,65.92,5.64,1050.98,Barley
101.87,56.29,110.24,32.19,60.64,6.0,755.38,Barley
68.06,46.35,50.72,27.67,42.18,6.1,508.87,Barley
109.6,51.47,44.58,32.75,74.43,6.18,893.1,Barley
92.21,26.17,82.29,21.3,75.14,7.35,1039.45,Barley
105.0,42.3,118.77,23.72,43.04,6.62,595.91,Barley
85.79,20.28,87.7,23.96,47.51,5.58,627.93,Barley
130.32,33.47,94.33,31.35,53.12,7.14,922.69,Barley
104.74,20.04,42.81,34.86,71.29,7.38,1112.07,Barley
61.64,51.67,76.09,31.84,40.27,6.08,976.19,Barley
123.44,44.79,64.1,24.66,78.67,6.38,702.41,Barley
104.19,36.38,84.21,26.49,73.07,7.32,1138.9,Barley
105.14,37.69,96.42,32.57,62.52,6.9,974.76,Barley
114.11,49.85,56.69,27.48,63.53,5.5,1070.37,Barley
108.8,25.17,105.31,30.76,70.33,6.28,1068.78,Barley
38.98,27.12,20.04,27.03,68.73,7.02,597.94,Beans and peas (vegetable)
66.7,30.44,36.68,31.43,68.29,7.78,882.76,Beans and peas (vegetable)
74.32,32.66,56.57,20.41,61.73,7.38,612.51,Beans and peas (vegetable)
70.78,13.29,42.86,25.08,57.29,6.2,392.12,Beans and peas (vegetable)
68.63,24.53,22.92,18.23,58.94,6.3,723.08,Beans and peas (vegetable)
65.67,16.85,55.53,20.16,52.14,7.6,626.46,Beans and peas (vegetable)
72.01,16.76,39.8,24.59,59.2,7.8,368.67,Beans and peas (vegetable)
69.64,35.91,53.19,22.82,60.77,6.53,779.46,Beans and peas (vegetable)
44.88,37.78,57.36,25.2,68.44,6.91,842.7,Beans and peas (vegetable)
22.91,39.2,68.73,30.05,59.32,7.51,484.06,Beans and peas (vegetable)
63.34,14.21,38.42,24.24,52.89,6.7,792.06,Beans and peas (vegetable)
27.97,32.36,24.42,28.72,71.68,6.72,733.49,Beans and peas (vegetable)
74.06,34.02,43.43,24.78,71.17,6.53,782.33,Beans and peas (vegetable)
32.96,34.18,25.21,18.62,79.91,7.57,829.71,Beans and peas (vegetable)
76.59,23.15,37.21,19.82,60.05,6.4,861.33,Beans and peas (vegetable)
10.28,14.3,34.79,20.79,49.03,7.18,496.51,Beans and peas (vegetable)
53.05,36.71,56.15,27.72,54.62,6.29,492.35,Beans and peas (vegetable)
77.5,28.65,36.65,24.31,73.42,7.2,636.39,Beans and peas (vegetable)
71.96,30.17,58.56,20.66,44.26,7.74,659.32,Beans and peas (vegetable)
39.1,27.67,23.71,29.51,48.67,7.45,620.63,Beans and peas (vegetable)
29.36,10.91,68.95,20.47,42.07,7.36,510.03,Beans and peas (vegetable)
37.25,17.41,71.55,22.16,48.41,6.56,421.89,Beans and peas (vegetable)
32.24,12.49,29.51,23.84,75.18,6.1,427.6,Beans and peas (vegetable)
73.58,36.7,60.77,21.37,56.79,6.38,377.15,Beans and peas (vegetable)
36.6,27.27,41.6,26.55,51.85,6.62,774.4,Beans and peas (vegetable)
71.48,19.66,54.29,21.89,42.13,7.33,402.6,Beans and peas (vegetable)
39.8,24.61,31.07,19.32,53.92,7.71,669.08,Beans and peas (vegetable)
36.7,11.17,56.02,19.29,61.7,7.35,554.15,Beans and peas (vegetable)
30.96,11.42,21.49,24.02,75.33,6.44,644.43,Beans and peas (vegetable)
57.9,11.82,29.19,22.64,66.8,6.79,740.52,Beans and peas (vegetable)
70.73,32.75,79.53,28.56,74.09,7.5,738.16,Beans and peas (vegetable)
66.13,38.04,48.51,26.94,60.6,7.53,558.82,Beans and peas (vegetable)
67.38,33.98,77.71,21.48,68.38,7.36,861.77,Beans and peas (vegetable)
73.48,27.21,54.75,20.34,79.0,6.46,734.84,Beans and peas (vegetable)
65.71,23.24,32.67,20.65,74.26,6.92,354.08,Beans and peas (vegetable)
60.19,17.51,72.58,22.33,48.01,6.15,606.92,Beans and peas (vegetable)
41.55,32.54,47.88,22.81,50.47,6.5,856.71,Beans and peas (vegetable)
21.56,39.65,39.62,19.24,49.95,6.11,774.02,Beans and peas (vegetable)
45.88,20.11,59.72,26.83,77.59,7.73,708.41,Beans and peas (vegetable)
67.25,33.77,49.48,27.86,43.13,7.36,877.1,Beans and peas (vegetable)
15.95,35.08,75.98,21.17,60.99,7.67,876.14,Beans and peas (vegetable)
18.95,20.47,61.89,21.1,52.99,6.04,392.11,Beans and peas (vegetable)
49.36,29.59,58.93,28.9,56.61,6.49,309.35,Beans and peas (vegetable)
24.46,19.37,30.69,18.28,46.3,7.2,677.75,Beans and peas (vegetable)
75.5,33.95,54.07,19.93,62.56,6.11,558.53,Beans and peas (vegetable)
37.32,22.83,36.79,27.6,73.64,7.38,676.65,Beans and peas (vegetable)
47.68,10.93,63.38,25.63,50.83,6.59,861.36,Beans and peas (vegetable)
53.71,24.28,57.26,23.79,58.81,6.52,563.91,Beans and peas (vegetable)
57.99,11.2,67.7,21.96,67.3,7.16,691.58,Beans and peas (vegetable)
52.57,38.77,50.5,28.25,68.22,6.43,469.98,Beans and peas (vegetable)
39.68,18.33,42.0,23.47,64.15,6.4,782.58,Beans and peas (vegetable)
40.63,31.19,24.89,24.58,41.13,7.22,506.23,Beans and peas (vegetable)
76.45,19.72,53.83,21.6,64.8,6.84,522.38,Beans and peas (vegetable)
24.26,13.35,27.19,31.99,56.49,6.0,871.76,Beans and peas (vegetable)
11.4,22.56,63.05,30.8,68.52,6.83,884.67,Beans and peas (vegetable)
12.75,39.61,70.96,31.01,50.19,6.26,697.99,Beans and peas (vegetable)
46.11,25.7,75.48,26.68,52.44,6.72,380.1,Beans and peas (vegetable)
23.46,14.3,68.62,27.87,61.21,6.67,701.1,Beans and peas (vegetable)
66.9,36.44,52.82,29.48,60.45,6.85,819.26,Beans and peas (vegetable)
37.05,21.88,38.29,25.26,61.79,7.19,558.3,Beans and peas (vegetable)
25.25,36.01,40.76,30.92,48.29,7.01,621.97,Beans and peas (vegetable)
68.01,14.17,74.6,25.44,63.44,6.92,321.61,Beans and peas (vegetable)
44.8,17.91,40.56,27.09,59.91,6.17,343.82,Beans and peas (vegetable)
23.0,15.73,56.5,20.49,75.27,6.38,354.68,Beans and peas (vegetable)
71.3,18.86,45.53,31.43,77.77,7.29,341.36,Beans and peas (vegetable)
51.53,39.67,76.81,19.48,55.84,6.57,377.84,Beans and peas (vegetable)
58.64,18.22,40.69,19.27,59.92,6.28,559.25,Beans and peas (vegetable)
20.03,38.62,28.7,25.31,47.88,6.14,421.39,Beans and peas (vegetable)
13.83,14.18,49.61,27.13,43.49,6.79,648.75,Beans and peas (vegetable)
26.4,21.16,24.31,21.08,58.67,7.78,897.76,Beans and peas (vegetable)
78.57,22.69,24.84,22.53,49.51,6.03,357.14,Beans and peas (vegetable)
41.72,20.19,30.82,28.03,54.28,7.53,444.59,Beans and peas (vegetable)
47.69,15.52,49.72,20.13,46.46,7.1,458.27,Beans and peas (vegetable)
22.07,37.89,22.58,25.91,61.93,6.45,571.66,Beans and peas (vegetable)
16.14,31.64,33.3,20.71,52.6,7.62,777.88,Beans and peas (vegetable)
76.28,29.56,59.78,24.72,76.21,6.92,513.04,Beans and peas (vegetable)
54.83,26.38,27.44,23.5,52.53,7.52,527.31,Beans and peas (vegetable)
67.51,23.27,65.21,19.89,76.99,6.87,455.88,Beans and peas (vegetable)
26.9,17.95,42.0,28.05,77.98,7.2,628.3,Beans and peas (vegetable)
41.4,34.85,70.98,22.1,78.14,6.71,780.05,Beans and peas (vegetable)
77.68,31.11,29.69,26.21,44.75,7.42,468.79,Beans and peas (vegetable)
58.67,37.3,30.86,23.5,65.88,6.76,404.89,Beans and peas (vegetable)
12.04,22.2,58.95,26.04,46.25,6.81,521.68,Beans and peas (vegetable)
